"Story","Title","Result","Date","Stability","Duration (s)"
"Login","Validasi Login Function","SUCCESS","2022-07-19T21:41:36.3697765+07:00[Asia/Jakarta]","0.0","133.96"
"Login","see log report","SUCCESS","2022-07-19T21:43:50.3443099+07:00[Asia/Jakarta]","0.0","46.65"
